Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
367,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,2.9,1,0,0,3,1,0,33.3,1.04,0.35,0.33,1.00,0.7,0.7,0.22,+0.3,+0.3,Matches
368,Luke Shaw\Luke-Shaw,eng ENG,DFMF,Manchester Utd,6.5,0,0,0,6,3,0,50.0,0.92,0.46,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
369,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,11.5,5,0,0,24,8,5,33.3,2.09,0.70,0.21,0.63,1.7,1.7,0.07,+3.3,+3.3,Matches
370,Djibril Sidibé\Djibril-Sidibe,fr FRA,DFMF,Everton,10.5,0,0,0,6,1,0,16.7,0.57,0.10,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
371,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,15.8,1,0,0,31,10,3,32.3,1.97,0.63,0.03,0.10,2.0,2.0,0.06,-1.0,-1.0,Matches
372,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,13.1,5,0,0,28,11,0,39.3,2.14,0.84,0.18,0.45,4.0,4.0,0.14,+1.0,+1.0,Matches
373,David Silva\David-Silva,es ESP,MF,Manchester City,11.3,3,0,0,26,8,2,30.8,2.30,0.71,0.12,0.38,3.3,3.3,0.13,-0.3,-0.3,Matches
374,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,1.6,0,0,0,1,0,0,0.0,0.62,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
375,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,17.8,2,0,0,12,3,0,25.0,0.68,0.17,0.17,0.67,2.0,2.0,0.17,0.0,0.0,Matches
376,Oliver Skipp\Oliver-Skipp,eng ENG,MF,Tottenham,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
377,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,9.3,0,0,0,2,1,0,50.0,0.21,0.11,0.00,0.00,0.5,0.5,0.25,-0.5,-0.5,Matches
